Year,ArtDecoValue,BauhausValue,SocialRealismValue,StreetArtValue,MinimalismValue,DigitalValue,PopArtValue,TypographyValue,NYSValue
1930,0.5625,0.2291666667,0.0625,0,0.0625,0,0,0.0208333333,0.0625
1931,0.625,0.1666666667,0.2083333333,0,0,0,0,0,0
1932,0.65,0.1,0.2,0,0,0,0,0,0.05
1933,0.4666666667,0.2,0.2,0,0,0,0,0,0.1333333333
1934,0.6666666667,0.0416666667,0.1666666667,0,0,0,0,0,0.125
1935,0.7457627119,0.0508474576,0.0169491525,0,0,0,0,0.0338983051,0.1525423729
1936,0.25,0.15,0.2,0,0,0,0.05,0,0.35
1937,0.4,0.1333333333,0.3333333333,0,0,0,0,0,0.1333333333
1938,0.1111111111,0.2592592593,0.2962962963,0,0,0,0,0.037037037,0.2962962963
1939,0.0714285714,0.2142857143,0.3928571429,0,0,0,0,0,0.3214285714
1940,0.0810810811,0.2432432432,0.4054054054,0,0.0540540541,0,0,0,0.2162162162
1941,0.1851851852,0.0740740741,0.6296296296,0,0,0,0,0,0.1111111111
1942,0.0666666667,0.2333333333,0.5333333333,0,0,0,0,0,0.1666666667
1943,0.0810810811,0.027027027,0.4054054054,0,0,0,0,0,0.4864864865
1944,0.0689655172,0.2068965517,0.2413793103,0,0,0,0,0,0.4827586207
1945,0,0.0263157895,0.2368421053,0,0,0,0,0.0263157895,0.7105263158
1946,0.0256410256,0.1282051282,0.358974359,0,0,0,0,0,0.4871794872
1947,0.0185185185,0.1111111111,0.2777777778,0,0,0,0.037037037,0,0.5555555556
1948,0.0975609756,0.1951219512,0.0487804878,0,0,0,0.1219512195,0,0.5365853659
1949,0.064516129,0.1612903226,0.1290322581,0,0,0,0.0322580645,0,0.6129032258
1950,0.0208333333,0.1875,0.1458333333,0,0.0208333333,0,0.0416666667,0,0.5833333333
1951,0.0192307692,0.0961538462,0.0769230769,0,0.0192307692,0,0.0769230769,0,0.7115384615
1952,0,0.09375,0.0625,0,0.0625,0,0.09375,0,0.6875
1953,0.0952380952,0,0,0,0.0952380952,0,0.0952380952,0,0.7142857143
1954,0.0357142857,0,0.1071428571,0,0,0,0.0714285714,0.0357142857,0.75
1955,0,0,0.0833333333,0,0,0,0.0833333333,0,0.8333333333
1956,0.0454545455,0,0.2272727273,0,0,0,0.0454545455,0.0909090909,0.5909090909
1957,0,0.0731707317,0.1463414634,0,0.0487804878,0,0.0243902439,0,0.7073170732
1958,0.0243902439,0,0.0243902439,0,0.0975609756,0,0.0487804878,0.0487804878,0.756097561
1959,0,0.037037037,0.1111111111,0,0.1111111111,0,0.0925925926,0.037037037,0.6111111111
1960,0,0.0333333333,0.0833333333,0,0.1,0,0.1666666667,0.0166666667,0.6
1961,0,0.0638297872,0.0212765957,0,0.085106383,0,0.4042553191,0.0212765957,0.4042553191
1962,0,0.0648148148,0.0185185185,0,0.0277777778,0,0.6203703704,0.037037037,0.2314814815
1963,0.0083333333,0.0166666667,0.0083333333,0,0.1666666667,0,0.6083333333,0.0333333333,0.1583333333
1964,0,0.0298507463,0.0298507463,0.0074626866,0.1119402985,0,0.5746268657,0.0597014925,0.1865671642
1965,0,0.1086956522,0.0217391304,0.0217391304,0.2971014493,0,0.3188405797,0.0507246377,0.1811594203
1966,0,0.0859375,0.0078125,0.03125,0.078125,0,0.375,0.1171875,0.3046875
1967,0,0.0546875,0,0.0078125,0.265625,0,0.40625,0.109375,0.15625
1968,0.015037594,0.0902255639,0.022556391,0,0.1052631579,0,0.3834586466,0.0902255639,0.2932330827
1969,0,0.0526315789,0.015037594,0.007518797,0.1729323308,0,0.4511278195,0.0827067669,0.2180451128
1970,0,0.0909090909,0.006993007,0.020979021,0.1398601399,0.006993007,0.3426573427,0.0909090909,0.3006993007
1971,0.0079365079,0.0634920635,0.0079365079,0.0079365079,0.119047619,0,0.4285714286,0.0873015873,0.2777777778
1972,0.0091743119,0.0366972477,0.0091743119,0,0.1834862385,0.0091743119,0.5596330275,0.0275229358,0.1651376147
1973,0,0.0560747664,0.0093457944,0.0280373832,0.2242990654,0.0093457944,0.3551401869,0.046728972,0.2710280374
1974,0,0.0217391304,0.0434782609,0,0.25,0.0543478261,0.3152173913,0.0543478261,0.2608695652
1975,0,0.0114942529,0.1149425287,0,0.1379310345,0,0.3218390805,0.0689655172,0.3448275862
1976,0,0.0243902439,0.0487804878,0.012195122,0.1463414634,0.012195122,0.3658536585,0.1097560976,0.2804878049
1977,0,0,0.043956044,0.021978022,0.4835164835,0.010989011,0.2637362637,0.0549450549,0.1208791209
1978,0,0.1029411765,0.0147058824,0.0147058824,0.3823529412,0.0147058824,0.3823529412,0.0735294118,0.0147058824
1979,0,0.0327868852,0.0163934426,0.0819672131,0.262295082,0.0163934426,0.4098360656,0.1639344262,0.0163934426
1980,0,0.0094339623,0.0094339623,0.0566037736,0.2358490566,0.0188679245,0.4245283019,0.2452830189,0
1981,0,0.0181818182,0.0727272727,0.0363636364,0.1636363636,0,0.4545454545,0.2,0.0545454545
1982,0,0,0.1194029851,0.0895522388,0.1194029851,0.0149253731,0.4179104478,0.2388059701,0
1983,0.0144927536,0.0434782609,0.0144927536,0.0434782609,0.1449275362,0,0.6086956522,0.1304347826,0
1984,0,0.014084507,0.014084507,0.1267605634,0.323943662,0,0.4507042254,0.0704225352,0
1985,0,0,0.0555555556,0,0.2777777778,0,0.5925925926,0.0740740741,0
1986,0,0,0.0158730159,0.1746031746,0.1587301587,0,0.5873015873,0.0634920635,0
1987,0.0169491525,0,0.0169491525,0.0677966102,0.1186440678,0.1186440678,0.4576271186,0.0677966102,0.1355932203
1988,0,0,0.0588235294,0.0588235294,0.3137254902,0,0.4509803922,0.1176470588,0
1989,0,0,0.0526315789,0.0701754386,0.2807017544,0.0175438596,0.3684210526,0.1929824561,0.0175438596
1990,0,0,0.012195122,0.1097560976,0.4024390244,0,0.3658536585,0.1097560976,0
1991,0,0,0.0357142857,0.0357142857,0.375,0.0535714286,0.2678571429,0.2321428571,0
1992,0,0,0.0512820513,0,0.2051282051,0.0256410256,0.5128205128,0.2051282051,0
1993,0,0,0,0.0540540541,0.3783783784,0,0.4594594595,0.1081081081,0
1994,0,0,0,0.0416666667,0.5,0.0416666667,0.25,0.1666666667,0
1995,0,0,0,0.0285714286,0.2285714286,0.0285714286,0.3428571429,0.3714285714,0
1996,0,0,0,0,0.1666666667,0,0.2083333333,0.625,0
1997,0,0,0,0.0338983051,0.3050847458,0.0169491525,0.4406779661,0.2033898305,0
1998,0,0,0,0.0975609756,0.3902439024,0.0487804878,0.2926829268,0.1707317073,0
1999,0,0,0,0.1052631579,0.2631578947,0.0526315789,0.3684210526,0.2105263158,0
2000,0,0,0,0.0882352941,0.3235294118,0.0882352941,0.1764705882,0.3235294118,0
2001,0,0,0,0.1025641026,0.2307692308,0.1538461538,0.2820512821,0.2307692308,0
2002,0,0,0,0.0769230769,0.2692307692,0.1153846154,0.2692307692,0.2692307692,0
2003,0,0,0,0.0638297872,0.4468085106,0.170212766,0.0425531915,0.2765957447,0
2004,0,0,0,0.0425531915,0.2553191489,0.2340425532,0.1489361702,0.3191489362,0
2005,0,0,0.0181818182,0.0727272727,0.2181818182,0.1272727273,0.1454545455,0.4181818182,0
2006,0,0,0,0.0535714286,0.125,0.1607142857,0.125,0.5357142857,0
2007,0,0,0,0.0821917808,0.1780821918,0.1095890411,0.095890411,0.5342465753,0
2008,0,0,0,0.0325203252,0.1788617886,0.1869918699,0.1869918699,0.3902439024,0.0243902439
2009,0,0,0,0.0670731707,0.0731707317,0.1646341463,0.0853658537,0.6097560976,0
2010,0,0,0,0.0574712644,0.1091954023,0.2471264368,0.0517241379,0.5344827586,0
